n,Full Text,Score,Very.Pos,Very.Neg,Cleaned Text,Emotion,Polarity
494,"@ChaseSupport how freakin stupid r you guys, you re-key the property on a SS and the BPO co keeps canceling for non entry when we gave codes",-1,0,0, how freakin stupid r you guys you rekey the property on a ss and the bpo co keeps canceling for non entry when we gave codes,surprise,negative
495,"@ChaseSupport TY. it's at 1330 Broadway, Oakland CA. Plywood was put in windows in mid Nov. for Michael Brown protests",-1,0,0, ty its at 1330 broadway oakland ca plywood was put in windows in mid nov for michael brown protests,unknown,negative
496,@ChaseSupport I have and sent you one back. SG looking forward to hearing back from you.,0,0,0, i have and sent you one back sg looking forward to hearing back from you,unknown,positive
497,"@Superwoman329 2/2 Chase QuickPay, to send funds. Should you have any account questions, feel free to tweet us @ChaseSupport. ^MB",1,0,0, 22 chase quickpay to send funds should you have any account questions feel free to tweet us  mb,unknown,neutral
498,@ChaseSupport 2/2 so I no longer have an account with you that I can ask questions about.,0,0,0, 22 so i no longer have an account with you that i can ask questions about,unknown,negative
499,"@ChaseSupport 1/2 You guys closed my account due to ""fraud"" while I had an extended trip abroad, and I was unable to get to a branch in time",-2,0,1, 12 you guys closed my account due to fraud while i had an extended trip abroad and i was unable to get to a branch in time,sadness,negative
500,@chasesupport cancel that request. i figured it out now.  nevermind. sigh.,0,0,0, cancel that request i figured it out now  nevermind sigh,unknown,positive
501,@ChaseSupport Hi! Can you check if a double-payment was made to one of my accounts with you? Two pmt charges hit my bank acct! :(,0,0,0, hi can you check if a doublepayment was made to one of my accounts with you two pmt charges hit my bank acct ,unknown,negative
502,@ChaseSupport that worked.  Thanks,1,0,0, that worked  thanks,unknown,positive
503,@ToniDeLancey @ChaseSupport @USPS will u please send a direct message so I  an send u number to call.,0,0,0,   will u please send a direct message so i  an send u number to call,joy,neutral
504,"@ChaseSupport you guys did! Awesome job, thank you so much! I called costumer service and they were great!",3,1,0, you guys did awesome job thank you so much i called costumer service and they were great,joy,positive
505,"RT @ChaseSupport: @Castano_x I'd like to see if we can help. Without sharing acct numbers, pls follow/DM your name, zip &amp; the amount of the…",1,0,0, id like to see if we can help without sharing acct numbers pls followdm your name zip amp the amount of the…,joy,positive
506,@ChaseSupport glad to hear! Ya'll are the best! <U+263A><U+FE0F>,2,1,0, glad to hear yall are the best u263aufe0f,joy,positive
507,@ChaseSupport Your mobile CC payment site's defaulting to Spanish. Yo puedo hablar español. Others don't. Your IT folks'll want to look. :),0,0,0, your mobile cc payment sites defaulting to spanish yo puedo hablar español others dont your it folksll want to look ,unknown,positive
508,@arigmeza 2/2 Feel free to tweet @ChaseSupport if you ever have account questions. ^SG,1,0,0, 22 feel free to tweet  if you ever have account questions sg,unknown,neutral
509,"@yourfavorite We're glad to hear these charges were caught! If you ever need assistance with your account, tweet @ChaseSupport. ^SG",1,0,0, were glad to hear these charges were caught if you ever need assistance with your account tweet  sg,joy,neutral
510,@Multi_EthnicMgt @ChaseSupport @USPS greatly values your business – will contact you today.,0,0,0,   greatly values your business – will contact you today,unknown,positive
511,"@ChaseSupport still no apple pay for the ink cards.  I'm no longer ""patiently"" waiting.",1,0,0, still no apple pay for the ink cards  im no longer patiently waiting,unknown,neutral
512,@ChaseSupport I have Carmen's #; she's going 2 have branch mgr call. @ToniDeLancey I want the same respect from u/USP http://t.co/CNkOPbwkM7,1,0,0, i have carmens  shes going 2 have branch mgr call  i want the same respect from uusp ,joy,neutral
513,"@USPS @ChaseSupport ur EXECUTIVE SPECIALIST called @ToniDeLancey still waiting 2 ""chat"" about package. I'm serious! http://t.co/ZTd0WnTPgU",0,0,0,  ur executive specialist called  still waiting 2 chat about package im serious ,unknown,negative
514,@ChaseSupport It's 2015 and Chase still refuses to issue Chip &amp; PIN cards. Sad the US is last place in bank technology.,-3,0,1, its 2015 and chase still refuses to issue chip amp pin cards sad the us is last place in bank technology,sadness,negative
515,@ChaseSupport Why did my Chase Best Buy account close? Now I have available credit I can't use.,2,1,0, why did my chase best buy account close now i have available credit i cant use,joy,negative
516,Waiting on @ChaseSupport to deliver me some good news for my clients,1,0,0,waiting on  to deliver me some good news for my clients,joy,positive
517,"@ChaseSupport The new app has flaws, no place to log on.",-1,0,0, the new app has flaws no place to log on,unknown,neutral
518,"@ChaseSupport I'm having problems transferring UR from spouse to self, receiving ""unexpected error"" when I input my card and last name.",-3,0,1, im having problems transferring ur from spouse to self receiving unexpected error when i input my card and last name,unknown,negative
519,"Alright @ChaseSupport, I have @Ask_WellsFargo now. Received this $300 Checking Bonus thing in the mail. Why should I bank with you over WF?",1,0,0,alright  i have  now received this 300 checking bonus thing in the mail why should i bank with you over wf,unknown,neutral
520,@ChaseSupport hope you are here in southern Florida or Hawaii. Otherwise standing outside is a very good way to chill,0,0,0, hope you are here in southern florida or hawaii otherwise standing outside is a very good way to chill,fear,negative
521,@ChaseSupport You sure are. Good night and stay warm and safe.,3,1,0, you sure are good night and stay warm and safe,joy,positive
522,@ChaseSupport thank you,1,0,0, thank you,unknown,positive
523,@ChaseSupport Thank you for your help!,1,0,0, thank you for your help,unknown,positive
524,@ChaseSupport 2/2 and paperless is the same amount of work in that I need to log into my bank and set up the payment,1,0,0, 22 and paperless is the same amount of work in that i need to log into my bank and set up the payment,unknown,neutral
525,"@ChaseSupport 1/2 AutoPay is not an option, I cant monitor what my upcoming payments are using that instead suddenly money just disappears",0,0,0, 12 autopay is not an option i cant monitor what my upcoming payments are using that instead suddenly money just disappears,unknown,positive
526,"@ChaseSupport what, amateur hour dog &amp; pony show doesn't cover it?? just kidding, i'll DM the gory details as soon as twitter lets me..",0,0,0, what amateur hour dog amp pony show doesnt cover it just kidding ill dm the gory details as soon as twitter lets me,unknown,negative
527,@dtemkin @ChaseSupport I hate this about my Chase card.,-1,0,0,  i hate this about my chase card,anger,negative
528,@ChaseSupport Thanks!,0,0,0, thanks,unknown,positive
529,@ChaseSupport I was charged this non-customer fee. #Extortion-the check was drawn on ur bank &amp; good: R U a bank or check chasing store?,1,0,0, i was charged this noncustomer fee extortionthe check was drawn on ur bank amp good r u a bank or check chasing store,joy,neutral
530,@emanon256 Agreed! Not having the bill send directly is a huge step back. Awful choice @ChaseSupport,-1,0,0, agreed not having the bill send directly is a huge step back awful choice ,fear,negative
531,Just got an email that @ChaseSupport no longer supporting 3rd party eBill statements. I think I will be canceling my cards with you guys.,1,0,0,just got an email that  no longer supporting 3rd party ebill statements i think i will be canceling my cards with you guys,unknown,positive
532,I didn't have any follower today .. But my bank follow me which is nice.! @ChaseSupport,1,0,0,i didnt have any follower today  but my bank follow me which is nice ,unknown,neutral
533,you might want to send out new debit cards before you cancel someone's ONLY working CARD. @Chase @Chase @ChaseSupport,0,0,0,you might want to send out new debit cards before you cancel someones only working card   ,unknown,positive
534,"@ChaseSupport Yeah, for $6. Per month. Fuck that. It's illegal.",-2,0,1, yeah for 6 per month fuck that its illegal,surprise,negative
535,"@ChaseSupport Ok , thanks",0,0,0, ok  thanks,unknown,positive
536,@ChaseSupport What if the address isn't local? Does it matter?,0,0,0, what if the address isnt local does it matter,unknown,positive
537,"@ChaseSupport Had a quick question, but can't log into my old account help!",0,0,0, had a quick question but cant log into my old account help,unknown,neutral
538,@ChaseSupport thanks . you too and God bless,1,0,0, thanks  you too and god bless,sadness,positive
539,"@ChaseSupport @emanon256 I use that service to receive and pay my bill from my bank.  I now must get the bill, and manually pay.",0,0,0,  i use that service to receive and pay my bill from my bank  i now must get the bill and manually pay,sadness,negative
540,"@ChaseSupport I have chase freedom credit card, i would like to refer my friend. Where do i need to refer ?",2,1,0, i have chase freedom credit card i would like to refer my friend where do i need to refer ,joy,positive
541,"@ChaseSupport You should have gotten the hint by now. Short of 5 years minimum at 0%, sending more mail doesn't help.",0,0,0, you should have gotten the hint by now short of 5 years minimum at 0 sending more mail doesnt help,unknown,positive
542,@ChaseSupport Why do you guys send paper mail to me everyday soliciting services? The amount of paper from Chase is insane.,-1,0,0, why do you guys send paper mail to me everyday soliciting services the amount of paper from chase is insane,unknown,negative
543,RT @ChaseSupport: @MsAshleyGrier I am glad that Diana was able to provide you with such a great experience. I will share this with the Bran…,2,1,0, i am glad that diana was able to provide you with such a great experience i will share this with the bran…,joy,positive
544,@ChaseSupport the branch location is Palatine IL Branch 000993,0,0,0, the branch location is palatine il branch 000993,unknown,positive
545,"@ChaseSupport got email that Chase is dropping eBill, must sign back up for paper, seems like a move in the wrong direction. #inconvenient",0,0,0, got email that chase is dropping ebill must sign back up for paper seems like a move in the wrong direction inconvenient,joy,negative
546,@ChaseSupport dnt remember her name lol,0,0,0, dnt remember her name lol,unknown,positive
547,@ChaseSupport via the Chase website. I don't want a different website for each of the banks I use; this should be obvious -I'd rather cancel,0,0,0, via the chase website i dont want a different website for each of the banks i use this should be obvious id rather cancel,unknown,neutral
548,@dtemkin @ChaseSupport that's full retard,-1,0,0,  thats full retard,unknown,negative
549,RT @ChaseSupport: @Kris_Mexicanese We're glad you want to open an acct w/ us! You can see our current checking acct offer here: http://t.co…,1,0,0, were glad you want to open an acct w us you can see our current checking acct offer here …,joy,positive
550,@dtemkin @ChaseSupport It's getting too expensive to send email and pdf.,-1,0,0,  its getting too expensive to send email and pdf,unknown,negative
551,@ChaseSupport thanks guys,0,0,0, thanks guys,unknown,positive
552,"What kind of massively consumer-unfriendly move is this, @ChaseSupport ? http://t.co/1lXH4sWtg3",0,0,0,what kind of massively consumerunfriendly move is this   ,joy,positive
553,@ChaseSupport thank you everything is fine now ! Thanks chase lol,2,1,0, thank you everything is fine now  thanks chase lol,unknown,positive
554,Yes in the SUGARLAND &amp; Houston area @ChaseSupport,0,0,0,yes in the sugarland amp houston area ,unknown,positive
555,@ChaseSupport That was in the Chase branch on 6th Ave &amp; 44th St in Manhattan,0,0,0, that was in the chase branch on 6th ave amp 44th st in manhattan,unknown,positive
556,Thanks @Chase @jpmorgan @ChaseSupport for making it such a hassle to get my own money out of my own account! #iJustWantMyMoney,-1,0,0,thanks    for making it such a hassle to get my own money out of my own account ijustwantmymoney,sadness,negative
557,"@ChaseSupport I have the app I was in the mountains with no service, that's the dumbest fee ever, all I'm doing is checking balance",0,0,0, i have the app i was in the mountains with no service thats the dumbest fee ever all im doing is checking balance,unknown,positive
558,@ChaseSupport WE ARE STILL LOOKING FOR OUR FIRST EVER CORPORATE SPONSOR.. PLEASE LOG ON TO http://t.co/OWt0crju6v  AND SIGN UP TODAY!!!,0,0,0, we are still looking for our first ever corporate sponsor please log on to   and sign up today,joy,positive
559,@ChaseSupport Thank you <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B1><U+008D> Whoever runs your Facebook page completely ignored me <ed><U+00A0><U+00BD><ed><U+00B8><U+0090>,1,0,0, thank you edu00a0u00bdedu00b8u0081edu00a0u00bdedu00b1u008d whoever runs your facebook page completely ignored me edu00a0u00bdedu00b8u0090,unknown,positive
560,@ChaseSupport you haven't resolved my problem though<ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>,-1,0,0, you havent resolved my problem thoughedu00a0u00bdedu00b8u00b3,unknown,neutral
561,'@ChaseSupport COME ON NO SPANISH speaking bank tellers? In HOUSTON TEXAS,0,0,0, come on no spanish speaking bank tellers in houston texas,unknown,negative
562,@ChaseSupport could you add #TouchID support to the iOS app?,1,0,0, could you add touchid support to the ios app,unknown,positive
563,@ChaseSupport I got it taken care of. It was a misunderstanding and the people at the bank were very helpful. Thank you though! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>,1,0,0, i got it taken care of it was a misunderstanding and the people at the bank were very helpful thank you though edu00a0u00bdedu00b8u008a,joy,neutral
564,@ChaseSupport I just got approved for a new CC. Is there any way to get the card sent quicker than 7-10 days? Need to start using it ASAP!,1,0,0, i just got approved for a new cc is there any way to get the card sent quicker than 710 days need to start using it asap,joy,negative
565,"RT @ChaseSupport: @roobee_doll I'm sorry you had a bad experience. If you'd like to share additional details, please tweet us. We are here …",-1,0,0, im sorry you had a bad experience if youd like to share additional details please tweet us we are here …,joy,neutral
566,@ChaseSupport I need some help,0,0,0, i need some help,unknown,neutral
567,RT @ChaseSupport: @LuxeyGaxiola_ I'm happy to hear that Judy was able to address your concerns. Did you speak with her in a branch or over …,0,0,0, im happy to hear that judy was able to address your concerns did you speak with her in a branch or over …,joy,neutral
568,RT @ChaseSupport: @amelakazic I'm sorry for the negative experience and I want to look into this. Will you follow/DM your name and zip code…,-2,0,1, im sorry for the negative experience and i want to look into this will you followdm your name and zip code…,sadness,neutral
569,"RT @ChaseSupport: @amelakazic If you'd like us to review this, please tweet us. We'll be in until 9PM ET tonight. You may also call 800-945…",2,1,0, if youd like us to review this please tweet us well be in until 9pm et tonight you may also call 800945…,joy,positive
570,@ChaseSupport i just did,0,0,0, i just did,unknown,positive
571,"@ChaseSupport and to whoever monitoring the account, find another job where you actually can make impact making people's life better.",1,0,0, and to whoever monitoring the account find another job where you actually can make impact making peoples life better,unknown,negative
572,@ChaseSupport don't screw up your customer to begin with.,0,0,0, dont screw up your customer to begin with,unknown,negative
573,@ChaseSupport just having TWTR presence is not good customer support.,2,1,0, just having twtr presence is not good customer support,joy,positive
574,@ChaseSupport the customer service I received was great. Worth the wait. Thanks!,2,1,0, the customer service i received was great worth the wait thanks,joy,positive
575,"@ChaseSupport presumably mess up my tax, creating issues for me to fix.",-2,0,1, presumably mess up my tax creating issues for me to fix,unknown,negative
576,@ChaseSupport you guys decided to close my hsa account without notifying me or work with me to move fund to some other HSA.,1,0,0, you guys decided to close my hsa account without notifying me or work with me to move fund to some other hsa,joy,negative
577,@ChaseSupport why am I getting Non-Chase ATM fees. I was told that was not something Chase charged their customers when I signed up.,0,0,0, why am i getting nonchase atm fees i was told that was not something chase charged their customers when i signed up,unknown,positive
578,@ChaseSupport sent you the message,0,0,0, sent you the message,unknown,positive
579,"@ChaseSupport interesting, @AmericanExpress @Discover @PersonalCapital are leading the way.  Thanks for the response.",2,1,0, interesting    are leading the way  thanks for the response,unknown,neutral
580,"RT @ChaseSupport: @bretthackel We hope you obtained your card. If you're interested, pls visit http://t.co/xttRAVnsdO for information about…",0,0,0, we hope you obtained your card if youre interested pls visit  for information about…,unknown,positive
581,Likely going to be closing the account to avoid further fees and go back to @Chase where it was honest @ChaseSupport @PNCBank_Help @PNCBank,1,0,0,likely going to be closing the account to avoid further fees and go back to  where it was honest   ,unknown,neutral
582,@ChaseSupport thank you!,1,0,0, thank you,unknown,positive
583,"@ChaseSupport On your online billpay service, when do the payments post to your checking accounts?",0,0,0, on your online billpay service when do the payments post to your checking accounts,unknown,positive
584,"@ChaseSupport I think the people I dealt with via message are under the mistaken belief that I won't pursue legal action. Ha, yeah, I will.",-1,0,0, i think the people i dealt with via message are under the mistaken belief that i wont pursue legal action ha yeah i will,unknown,neutral
585,@ChaseSupport Yeah. Give me access to past statements on a closed account (as required by law) without charging me $6 per statement. Okay?,0,0,0, yeah give me access to past statements on a closed account as required by law without charging me 6 per statement okay,surprise,neutral
586,@ChaseSupport bye going,0,0,0, bye going,unknown,positive
587,@ChaseSupport thanks for the social media command center tour!,0,0,0, thanks for the social media command center tour,unknown,positive
588,@ChaseSupport  Please let me know how can i get my refund back.. my Ph: 9728027712,1,0,0,  please let me know how can i get my refund back my ph 9728027712,joy,positive
589,"@ChaseSupport  When i tried to reach the branch people, even they dont have any idea. Even the customer care people are helpless.",-1,0,0,  when i tried to reach the branch people even they dont have any idea even the customer care people are helpless,joy,neutral
590,"@ChaseSupport : Dear Chase,
There was a deduction of $56 from my checkings account without any prior communication.",0,0,0,"  dear chase
there was a deduction of 56 from my checkings account without any prior communication",unknown,neutral
591,@ChaseSupport i sent my contact number,0,0,0, i sent my contact number,unknown,positive
592,@ChaseSupport is there a way to find out which branches in my area have the machine?,0,0,0, is there a way to find out which branches in my area have the machine,unknown,negative
593,"RT @ChaseSupport: @sadielewis We've not received any communications about this category, but I'll happily share your feedback. Tweet us if …",1,0,0, weve not received any communications about this category but ill happily share your feedback tweet us if …,joy,neutral
594,@ChaseSupport  What's up? Want to know how to get more done? Click here http://t.co/nWXoFYHcAb,0,0,0,  whats up want to know how to get more done click here ,sadness,neutral
595,@ChaseSupport 38th st and Washington blvd in Indianapolis and then on college abs just south of broad ripple ave.,0,0,0, 38th st and washington blvd in indianapolis and then on college abs just south of broad ripple ave,unknown,positive
596,@ChaseSupport Oh sweet. That was easy. Thanks!,2,1,0, oh sweet that was easy thanks,unknown,positive
597,@ChaseSupport  i did,0,0,0,  i did,unknown,positive
598,@YoungJushii I'm sorry to hear our offer did not meet your current banking needs. Pls tweet us @ChaseSupport if you have acct questions. ^MB,-1,0,0, im sorry to hear our offer did not meet your current banking needs pls tweet us  if you have acct questions mb,sadness,negative
599,@ChaseSupport Yo - I'm headed out of country on vacation next week. Is it still recommended that I notify you guys before using my card?,1,0,0, yo  im headed out of country on vacation next week is it still recommended that i notify you guys before using my card,unknown,positive
600,@ChaseSupport perhaps I should deposit my stacks of cash at another bank that has a properly working ATM??,1,0,0, perhaps i should deposit my stacks of cash at another bank that has a properly working atm,unknown,negative
601,@ChaseSupport I used to be able to deposit a whole stack of cash at once,0,0,0, i used to be able to deposit a whole stack of cash at once,unknown,neutral
602,@ChaseSupport the staff at the branch doesn't seem to care,0,0,0, the staff at the branch doesnt seem to care,joy,positive
603,@ChaseSupport the ATM in bowling green has been having problems with cash deposits for months. More than 2 bills at a time is rejected!,-2,0,1, the atm in bowling green has been having problems with cash deposits for months more than 2 bills at a time is rejected,unknown,negative
604,@emdebnam Thank you so much! I'll be sure to share your tweet w/ them. Feel free to tweet @ChaseSupport if you ever have acct questions. ^SG,2,1,0, thank you so much ill be sure to share your tweet w them feel free to tweet  if you ever have acct questions sg,unknown,positive
605,@ChaseSupport it was the Chase location at 3012 Government Street in Baton Rouge.  :),0,0,0, it was the chase location at 3012 government street in baton rouge  ,unknown,positive
606,RT @ChaseSupport: @rpwenzel We hope you enjoy the benefit of having account alerts. Please let us know if you have any questions. ^NA,2,1,0, we hope you enjoy the benefit of having account alerts please let us know if you have any questions na,joy,positive
607,"@ChaseSupport pressing 0# just sent me in to a loop asking for my card, account and pin #. All good now I went to a local branch.",1,0,0, pressing 0 just sent me in to a loop asking for my card account and pin  all good now i went to a local branch,joy,negative
608,@ChaseSupport please check your DM,0,0,0, please check your dm,joy,positive
609,"@SoBeLIVE We're happy to hear of your great experience &amp; we'll forward it to the branch. If you ever need anything, tweet @ChaseSupport. ^SG",3,1,0, were happy to hear of your great experience amp well forward it to the branch if you ever need anything tweet  sg,joy,positive
610,@ChaseSupport that makes no sense on any planet. I want to see 2014s transactions on one spreadsheet. @AmericanExpress does it.,0,0,0, that makes no sense on any planet i want to see 2014s transactions on one spreadsheet  does it,unknown,positive
611,@ChaseSupport how is it I get an overdraft fee when my bank account was at 0 when I went to bed. Same account transfers shouldn't pend!,0,0,0, how is it i get an overdraft fee when my bank account was at 0 when i went to bed same account transfers shouldnt pend,anger,negative
612,@ParkerConslt We'll need you to follow our handle in order for us to send you a DM. Please follow @ChaseSupport. ^BD,1,0,0, well need you to follow our handle in order for us to send you a dm please follow  bd,joy,positive
613,@ChaseSupport @Chase your private banking customer care people are not helpful at all.I need help ASAP,1,0,0,  your private banking customer care people are not helpful at alli need help asap,joy,positive
614,@ChaseSupport Is Chase Ink Plus Business Card a Visa or a Mastercard?,0,0,0, is chase ink plus business card a visa or a mastercard,unknown,positive
615,extremely impressed by @Chase customer service tonight - a million kudos y'all! cc @ChaseSupport,2,1,0,extremely impressed by  customer service tonight  a million kudos yall cc ,unknown,negative
616,"@ChaseSupport have tried calling the 9935 number 5 times. But it rejects my card, pin, account no's and I can't to get to a human. Outage?",-1,0,0, have tried calling the 9935 number 5 times but it rejects my card pin account nos and i cant to get to a human outage,sadness,negative
617,@ChaseSupport go ahead and send me a DM,0,0,0, go ahead and send me a dm,unknown,positive
618,@ChaseSupport change the android app so I can take a screenshot for receipt or at least add the option so I can send receipt for billpay/wt,0,0,0, change the android app so i can take a screenshot for receipt or at least add the option so i can send receipt for billpaywt,unknown,negative
619,Punny: RT @ChaseSupport: We’re leaving for the day. We got new reversible jackets. We’re excited to see how they turn out! ^AG,1,0,0,punny  we’re leaving for the day we got new reversible jackets we’re excited to see how they turn out ag,disgust,positive
620,@ChaseSupport Can I try tomorrow?,0,0,0, can i try tomorrow,unknown,negative
621,@ChaseSupport hey so i got this email today phishing to reset my chase account.. you might want to dig deeper http://t.co/29gPSkPkSx,0,0,0, hey so i got this email today phishing to reset my chase account you might want to dig deeper ,unknown,neutral
622,@ChaseSupport done!,0,0,0, done,unknown,positive
623,@ChaseSupport  I was able to talk to someone and got my question answered. Thanks!!,0,0,0,  i was able to talk to someone and got my question answered thanks,unknown,negative
624,@ChaseSupport How do I go about overnighting my new credit card I was approved for? Thanks! #travelingsoon,0,0,0, how do i go about overnighting my new credit card i was approved for thanks travelingsoon,joy,positive
625,@anandsays @ChaseSupport or acres4orty@yahoo.com. or 801-688-3117,0,0,0,  or acres4ortycom or 8016883117,unknown,positive
626,@anandsays @ChaseSupport and investor so if you feel like our apparel is worthy of your assistance please contact me here or,2,1,0,  and investor so if you feel like our apparel is worthy of your assistance please contact me here or,joy,positive
627,@anandsays @ChaseSupport deserving of reparations. Our online store is now open for business. http://t.co/85E7oFAnm0. I am also looking for,1,0,0,  deserving of reparations our online store is now open for business  i am also looking for,unknown,positive
628,@anandsays @ChaseSupport the american public on the historical injustices that was facilitated against African Americans proving why we are,0,0,0,  the american public on the historical injustices that was facilitated against african americans proving why we are,unknown,negative
629,@anandsays @ChaseSupport Salaam my brother. I am the owner of 4orty acres apparel for your mind a clothing line that was created to educate,0,0,0,  salaam my brother i am the owner of 4orty acres apparel for your mind a clothing line that was created to educate,joy,neutral
630,@ChaseSupport time**,0,0,0, time,unknown,positive
631,@ChaseSupport this**,0,0,0, this,unknown,positive
632,@ChaseSupport thus my fisrt using tweeter.. is this going to be private,0,0,0, thus my fisrt using tweeter is this going to be private,unknown,positive
633,@ChaseSupport it was resolved.,0,0,0, it was resolved,unknown,positive
634,I filed a report but have yet to receive any updates regarding the claim and credit back to my account. @ChaseSupport,0,0,0,i filed a report but have yet to receive any updates regarding the claim and credit back to my account ,unknown,neutral
635,I spoke with someone earlier about a fraudulent charge made to my account this morning but my account still shows overdrawn @ChaseSupport,-1,0,0,i spoke with someone earlier about a fraudulent charge made to my account this morning but my account still shows overdrawn ,joy,negative
636,@M00se18 @ChaseSupport you are being rude Mike,-1,0,0,  you are being rude mike,unknown,negative
637,@ChaseSupport so rumors about a january return are unfounded?,-2,0,1, so rumors about a january return are unfounded,unknown,negative
638,@ChaseSupport but it's not enough.. so i have to ask for more?,1,0,0, but its not enough so i have to ask for more,unknown,negative
639,@ChaseSupport I do have one.. freedom chase card.,1,0,0, i do have one freedom chase card,unknown,positive
640,@ChaseSupport Yes.  It is silly that you can download statements but not the actual data to Excel,0,0,0, yes  it is silly that you can download statements but not the actual data to excel,unknown,neutral
641,"@ChaseSupport Yes.  Also restored iPod. App won't finish installing. Error: IOS ver 7.0 required, but 6.1.6 is latest",0,0,0, yes  also restored ipod app wont finish installing error ios ver 70 required but 616 is latest,unknown,neutral
642,"@ChaseSupport hey guys. back when the atm slurped up my checks and then shut down, i need a copy of those checks. they don't show up online",0,0,0, hey guys back when the atm slurped up my checks and then shut down i need a copy of those checks they dont show up online,unknown,negative
643,"@ChaseSupport  hello, quick question do give out personal loans?",0,0,0,  hello quick question do give out personal loans,unknown,neutral
644,@ChaseSupport Why won't the mobile app work with my iPod?,1,0,0, why wont the mobile app work with my ipod,unknown,positive
645,"@ChaseSupport ok. Thank you. Fwiw, AMEX has it.",1,0,0, ok thank you fwiw amex has it,unknown,positive
646,"@ChaseSupport not going to lie, Chase support is awesome. Great customer service from their end",2,1,0, not going to lie chase support is awesome great customer service from their end,joy,positive
647,"@ChaseSupport thanks, it's working now",0,0,0, thanks its working now,unknown,positive
648,@ChaseSupport your phone reps already made it clear you are all useless and can't do anything. I won't be a customer in the future.,0,0,0, your phone reps already made it clear you are all useless and cant do anything i wont be a customer in the future,unknown,neutral
649,@ChaseSupport What the hell you Talm bout?,-1,0,0, what the hell you talm bout,unknown,negative
650,@ChaseSupport saving account,0,0,0, saving account,unknown,negative
651,"@ChaseSupport ur apply now button on sapphire preferred page isnt working, nor do ne phone#s allow to speak 2 sum1. I want a card, help?",0,0,0, ur apply now button on sapphire preferred page isnt working nor do ne phones allow to speak 2 sum1 i want a card help,unknown,positive
652,@ChaseSupport how can i contac you from mexico?,0,0,0, how can i contac you from mexico,unknown,positive
653,Why won't Chase Mobile App work on my iPod Touch with the latest IOS?@ChaseSupport,1,0,0,why wont chase mobile app work on my ipod touch with the latest ios,unknown,neutral
654,@ChaseSupport any word on when UR transfers to KE will resume?,0,0,0, any word on when ur transfers to ke will resume,unknown,positive
655,"@ChaseSupport   follow back please, thanks :)",0,0,0,   follow back please thanks ,joy,positive
656,@chasesupport You bet I'll tweet (first!) if I ever need help in the future. Thanks again.,0,0,0, you bet ill tweet first if i ever need help in the future thanks again,unknown,neutral
657,@ChaseSupport a sincere thank you!,2,1,0, a sincere thank you,unknown,positive
658,@ChaseSupport Over the phone! She was very polite and professional.,1,0,0, over the phone she was very polite and professional,unknown,positive
659,"OMG @chasesupport was awesome in solving my problem! Dan showed amazing patience and everything is great now. Thank you, Dan &amp; Twitter!",4,1,0,omg  was awesome in solving my problem dan showed amazing patience and everything is great now thank you dan amp twitter,anger,positive
660,@ChaseSupport well actually it's too late already changed banks but know you guys lost 4 customers of 7 years,0,0,0, well actually its too late already changed banks but know you guys lost 4 customers of 7 years,unknown,neutral
661,@ChaseSupport It'd be awesome if we could download a whole year's worth of numbers to Excel,3,1,0, itd be awesome if we could download a whole years worth of numbers to excel,unknown,positive
662,My @ChaseSupport account got 4 figures..<ed><U+00A0><U+00BD><ed><U+00B2><U+00B3> #INeedMoreDoe,0,0,0,my  account got 4 figuresedu00a0u00bdedu00b2u00b3 ineedmoredoe,unknown,negative
663,@ChaseSupport was not happy with your customer service. I wanted to cash my paycheck instead left in tears,1,0,0, was not happy with your customer service i wanted to cash my paycheck instead left in tears,joy,negative
664,"@ChaseSupport Thanks, I will do that.",0,0,0, thanks i will do that,unknown,positive
665,@ChaseSupport sure I would be happy to,1,0,0, sure i would be happy to,joy,positive
666,@ChaseSupport ive had a chase checking acct for 5 yrs.  Just found out you fund al sharpton.  Gonna have to find a new bank.,0,0,0, ive had a chase checking acct for 5 yrs  just found out you fund al sharpton  gonna have to find a new bank,unknown,negative
667,@ChaseSupport nah bitch Fuck you and Fuck Chase y'all some may back bitches,-3,0,1, nah bitch fuck you and fuck chase yall some may back bitches,unknown,negative
668,@ChaseSupport I do have plenty of questions about checking accts,0,0,0, i do have plenty of questions about checking accts,unknown,positive
669,@ChaseSupport thank you so much!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0083><ed><U+00A0><U+00BD><ed><U+00B2><U+00B8><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>,1,0,0, thank you so much edu00a0u00bdedu00b8u0083edu00a0u00bdedu00b2u00b8edu00a0u00bdedu00b1u008c,unknown,positive
670,RT @ChaseSupport: @PapaDick614 Thanks for allowing me to help with your concerns today. Feel free to reach out if you ever have questions a…,0,0,0, thanks for allowing me to help with your concerns today feel free to reach out if you ever have questions a…,unknown,positive
671,@Chase @ChaseSupport over a #decade w/ y'all &amp; never have you shown me some #love,1,0,0,  over a decade w yall amp never have you shown me some love,joy,positive
672,"@ChaseSupport No, the problem remains unsolved. Rep told me he'd call back yesterday and never did. Can you assist?",-1,0,0, no the problem remains unsolved rep told me hed call back yesterday and never did can you assist,unknown,negative
