n,Cleaned Text,Emotion,Polarity
457, i often get this error while trying to book travel and once i start getting itthere is no going back ,sadness,negative
458, i can not do that i made an application to get a blank check and got declined why bother to send pre approvals then decline,anger,negative
459, those are the only options i have at the moment  is there any way i can extend my payment until i get my new card,sadness,negative
460, ,unknown,positive
461, can i pay it off with a gift card,unknown,neutral
462, im tryin through paypal but i see nothing yet,unknown,negative
463, sadly i cant  is there any way i can pay this in 7 business days when i get my new card,sadness,negative
464, if i select pay statement balance will i be charged interest if my current balance is higher,joy,positive
465, when will the update for the android app be released lollipop has been out for months now,unknown,positive
466, is there any way i can extend my payment to a week later when i should have my new debit card,unknown,negative
467, im trying to pay the credit card bill online since the only funds i have access to is my paypal,unknown,negative
468," im trying to pay through western union 
whats the companys code",unknown,negative
469,  is there another way for me to pay,unknown,negative
470, no i lost my bank card that i was going to use to pay my bill,unknown,negative
471, i lost my debit card and im trying to find a way to pay my bill  i already tried western union but its only auto,unknown,negative
472, i just rather talk to someone and get my concerns cleared out thanks for your time,sadness,negative
473, does the capital one secured credit card graduate to an unsecured or do you have to open a new account,unknown,neutral
474, please stop sending me credit card offers thanks,joy,positive
475, that are on the website as approved dealers,joy,positive
476, i received an email with pre approval and to confirm rsvp with one dealer im not interested but i am with others,joy,positive
477, i just did but couldnt speak to anyone,unknown,positive
478, i just want my autopay to work this is not the first time my bill hasnt paid itself,unknown,positive
479,,unknown,positive
480,banking innovation daily is out  stories ,unknown,positive
481, whats very soon  i saw the same response back in november,unknown,positive
482, when are you going to update your apps for android 5  the new version of android has been rolling out to a lot of phones,unknown,positive
483, does apple pay support capital one i keep forgetting to set it up,unknown,neutral
484, still waiting on my answer,unknown,positive
485, why am i getting a fee for 29,unknown,positive
486, hello and good morning we are here and ready to help tweet us if you need us bt,joy,positive
487, hello and good morning we are here and ready to help tweet us if you need us bt,joy,positive
488, hello and good morning we are here and ready to help tweet us if you need us bt,joy,positive
489,    number one in not listening ,unknown,positive
490,still no resolution      ,unknown,positive
491,     leading the way in horrible service ,fear,negative
492, i have received mails for a car loan can i use this loan on any dealer on your site or only the one in the mail,unknown,positive
493, have 50 anymore does that mean that i dont have the 2 months free anymore,unknown,negative
494, hey so i have a question when you open the account and have the 50 inside and you buy something with the card but it doesnt,unknown,negative
495, firejimmyfallon i will cancel my credit card amp close my bank account boycott Ä,joy,negative
496, this is the message ive gotten for the last 8 months when i call they tell me to just pay ovr phone ,unknown,negative
497, there a hold for my payment why does my credit available say 0 when i paid it off and its cleared bnk ,unknown,positive
498, hey guys i cant access my app via my nexus 6 and i cant login to your desktop site with chrome why do you hate  ,anger,negative
499,  is  anti police or just there spokesman  ferguson icantbreathe blacklivesmatter,unknown,neutral
500, when will we ever see an android app that works with  5 its been more than two months now,unknown,positive
501,,unknown,positive
502, thank you for the help,unknown,positive
503, otherwise there is no way make a payment  i was trying to avoid getting a new card oh well,unknown,negative
504, my account is active just was trying not to use it for a while  idk if its possible to use account somehow to pay a bill,unknown,negative
505, its a credit card  i cut it to not spend for a while but i kind of need help getting caught up  just curious,joy,neutral
506, is there anyway to pay a bill using my capital one account if i no longer have the actual card,unknown,negative
507, or maybe i was supposed to tweet the canadian twitter pagesorry,unknown,negative
508, do the mobile apps work for costco mastercards asking since theres a separate website for logging in for costco cards,unknown,positive
509, ok no problem thanks ,unknown,negative
510, i made a payment yesterday through my cibc bank and it hasnt gone through online yet how long does this take,unknown,negative
511, can you guys commit to a date  was always an innovator,unknown,positive
512, will android 50 support come before february,unknown,positive
513, been waiting on a call back from an agent ref my acct its been over 4 hours wanted to email capital one in regards,unknown,neutral
514, is there a contact email address,unknown,positive
515, following you now twitter was first not allowing me to follow you but i got it fixed dm me please,joy,positive
516, thanks but mobile banking elsewhere im sure im not alone  way to botch ingdirect,unknown,negative
517, no love for android 50 users  logging onto the website show now supporting apple pay yet still no android app badbank,joy,negative
518, disappointed by your spokesman samuel l jackson and his antipolice video longtime card holder considering closing account,unknown,negative
519, more errors,unknown,positive
520, i followed you but dm is not an option,unknown,positive
521, i signed up for a card ampam waiting 5 weeks to get it i was told a new ones coming but now my info isnt even in the system,sadness,neutral
522, disconnected again,unknown,positive
523, im calling to activate my card and get transferred to higher tech and then they put me on holdnow i only hear white noise,sadness,negative
524, the new sign in for  seems broken major issues with my new password selection and not recognizing my password,unknown,negative
525, will do ill call the 800 in a fewthanks in advance,unknown,negative
526, yes i did that a few moments ago it was due on the 1st but i didnt know if u guys were there was hoping to avoid l8 fees,unknown,positive
527, thanks,unknown,positive
528, tried to login and pay my bill yesterday but couldnt get on to your site didnt know if u were there one the 1st,sadness,negative
529, cant pay my bill is there something wrong,unknown,negative
530, heard u hire foreign gays 2 give orders 2 steal upon american families here in the usa since heterosexuals move this economy,joy,neutral
531, i dont believe the american people will ever forgive u 4 stealing our dollars via those bailouts thinking u will b 4ever,unknown,positive
532, right partnership carts,unknown,positive
533, i did,unknown,positive
534, hi there we can check this out would you kindly followdm our  handled and send more info aw,joy,positive
535, can you guys please answer my email plz ,joy,positive
536, i want a block on my account now to stop any more charges and im seeking legal advice you cant keep getting away with theft,unknown,neutral
537, its just not loading every other website i go on is a ok somethings wrong,unknown,neutral
538, ,unknown,positive
539, thanks jackie were on it happynewyear ag,unknown,positive
540, thanks jackie just one more ques plz the one on south ragsdale street or the one on e commerce ag,unknown,neutral
541, oh oh well get on that jackie mind telling us the branch location well get our techs on it ag,sadness,negative
542, any plans to join the rest of the world and update your android app for 50x compatibility pretty embarassing,joy,positive
543,finally after 6 months im back where i wanted to be with  ,unknown,positive
544, your app for android doesnt support lollipop 50 ,unknown,positive
545, how long do i have to wait to apply for the quicksilver credit card i have 2 credit cards,unknown,negative
546,  i have a question about my acct no access to phone but have wifi  can you message me  thanks,unknown,negative
547, how can i tell if i have paperless billing enabled,unknown,positive
548, i was offered almost zero help not using this card anymore,unknown,positive
549, i tried calling customer service and they told me that the transactions were all approved yet the register said declined,joy,positive
550, thanks for the quick reply i was hoping to not have to wrap the 15 lbs of coins i have  oh well,unknown,positive
551, where can i find a branch in md with a coincounting machine i didnt see that option in the location search thanks,unknown,positive
552, doesnt care after all dp promised to help dm me   he said came back with same answer badservice unhelpful,joy,positive
553, thanks  its frustrating because originally c1 told me on the phone that it would be a couple of days soon is good,anger,negative
554, thanks jd,unknown,positive
555, any eta on getting mobile app to work with android lollipop its taking a long time,unknown,neutral
556, anything lollipop yet,unknown,positive
557, the one on south ragsdale street,unknown,positive
558, ive been receiving capital one offers addressed to previous tenant whom do i contact to remove him from your mailing list,unknown,negative
559, said theyd solve my problem nothing but the same bunk badservice indifferent,unknown,negative
560,hey  i just submitted feedback for you at  please address my issue ,joy,positive
561, called per suggas usual all the information completely different and ive been lied to you wont fix it of course fail,surprise,negative
562,     is  indifferent ask me to dm them and nothing resolved ,unknown,negative
563, jacksonville texas Ì†Ìö,unknown,positive
564, yeah reactivate my guitar center credit card that i pay on and is cancelled for no reason,unknown,negative
565, good to know thank you,joy,positive
566, oh okay thanks,unknown,positive
567, hi there i was on hold for 10 mins and had to hang up can you please advise how i can get my 2014 annual summary report,sadness,neutral
568, mampc for mastercard,unknown,positive
569, thanks,unknown,positive
570,good lookin out  on the superior customer service gettin a new card goodlooks thatsmyccson,joy,positive
571, when is your android app going to support lollipop,unknown,positive
572, hi i wanna ask a question so when i deposit money from a capital one bank atm it asks checkings or savings is it checkings,unknown,negative
573, i called and got everything straighten out thank you,unknown,positive
574, yes i have and it says that me security question answers are incorrect,unknown,negative
575, i seem to have forgotten my username and password to my account can i get some help please,joy,negative
576,  hello could i please have instructions for like king my sharebuilder account so i can see it in co 360,joy,positive
577,  hello i learned how to do image upload on the pc  thanks for the prompt response anyways,unknown,positive
578, is there a timeframe on a possible android app upgrade so that its compatible with android 50 makes it hard w a 360 act,joy,positive
579, i did this and still no luck,unknown,positive
580, i am,unknown,positive
581, dm sent well several dms actually,unknown,positive
582, yes i am,unknown,positive
583, i very likely will not have access again till late tomorrow,unknown,positive
584, i cannot call you im traveling in the moroccan desert with limited access to internet and no phone,unknown,negative
585, how about some lolipop supportconsidering its been available to develop to for months very disappointed at your ios focus,unknown,negative
586, i have 360 online new to twitterhow do i dm my zip is 33771 and my name is in my handle,unknown,positive
587, so that was what you patting me on the back and saying itll be okay wheres this discussion,unknown,positive
588,rt  click  gtgt                 ,unknown,positive
589,    still hasnt done the right thing badservice arrogant uncaring,unknown,negative
590,every month  i have to answer security questions just to make a payment or my info doesnt match up sooooo sick of this Ì†Ì,disgust,positive
591, any chance of your android app getting updated to support 50 anytime soon,unknown,positive
592, last four numbers in my acct 0617  last purchase i made was riad zyo in rabat morocco,unknown,negative
593, im traveling in morocco and am unable to find my capitalone card  can you please freeze my card until i find it,joy,neutral
594, done,unknown,positive
595, are you having trouble with your mobil app and website i cant log in to either one,unknown,neutral
596, how do i deposit checks if app doesnt work on lollipop,unknown,positive
597, are there any updates on capitalone mobile for lollipop,unknown,positive
598, how do i link my sharebuilder account i read the faqs for it but there is not a buttonlink in my accounts as suggested,unknown,negative
599, youre all ready to go for apple pay but not android 50 so frustrating never thought id switch banks cause of my phone,anger,negative
600, i appreciat the new years email but what id really like is for yall to fix the android app for android 50 step it up,joy,positive
601, why does capitalone continue to have a spokesman that advocates against the police ,unknown,positive
602, i have two accounts one is due on the 2nd and the other on the 10th how do i make them on the same date,unknown,positive
603, so on point didnt match do i just change it and re request a card,unknown,positive
604, followed,unknown,positive
605, so you support the murder of police officers whats  with that jerk jackson as your spokeshole then,anger,negative
606, which i was unable to have access to can i give an address so you mail the letter to me,unknown,neutral
607, i was forwarded an email to know why my credit card application was not approved but the email contain a letter,joy,positive
608, following,unknown,positive
609, i was sent an email to know why my credit card was not approved and am unable to sign in i need an email to lay my complaint,joy,negative
610, they have not been a help,unknown,positive
611, locked out online account for two weeks,unknown,negative
612, i have a credit card,unknown,positive
613, help,unknown,positive
614, you too i definitely will,unknown,positive
615, thank you for working on new years day and fixing the problem excuse my tweet since i was very upset ,unknown,negative
616, 360 hence my complaint about you ditching the pinpad your redesign makes every mistake you can make wonline authentication,unknown,negative
617, if i apply for a card n get declined does is harm my credit,sadness,negative
618, thank you so much,unknown,positive
619, can someone from capital one contact me via email im having issues paying my balance thanks edcarroll284cfccedu,unknown,positive
620,       happy new year to you as well,joy,positive
621,happy new year to the people behind       amp ,joy,positive
622,  you couldnt give me one of your cards,unknown,positive
623, hi thank you im using capital one 360 using a customer number from ing days,unknown,positive
624,since im an auburn fan and i have a capitol one credit card does this mean im exempt from a payment this month ,unknown,negative
625, about 3 years now,unknown,positive
626, been getting this for the last hour Ì†Ì ,unknown,negative
627, despite promises to call me emails being misinformed a kajillion times and a miserable experience i cling to hope failc1,anger,negative
628, ok sent pm,unknown,positive
629, the incompetency of this organization is astounding i wanna love you butrawr,joy,positive
630, bank trying to reset pin at forgot pinpasswd link ssn bd zip phone not accepted no other way to reset pin on site,unknown,negative
631, follow me i can send a screen shot,unknown,positive
632, hi followed back amp dmd you thanks for helping,unknown,positive
633, no holds  last charge was dec 18th,joy,negative
634, yes it days 000 but my available credit has not increased since making the payment,unknown,positive
635, how come my available credit has not increased since i made a payment,unknown,positive
636," 
i made a payment on dec 26th it was over the min amount it still says i have a payment due jan 6th",unknown,positive
637, it would be greatly appreciated and likely save capital one a ton of mailing cost will dm right away,joy,positive
638, oh and i will stick your return envelopes to a brick if it doesnt stop,unknown,neutral
639,really guys in 12 weeks ive had 8 letters im ignoring them for a reason take me off your list ,unknown,negative
640,thanks     for being top new followers in my community this week,surprise,positive
641, is it possible to upgrade my card to a rewards card,unknown,positive
642, any eta on an update on your app to support android 501,unknown,positive
643, hey we saw your tweet please let us know if you need assistance with anything thanks da,joy,positive
644, enter any other information,unknown,positive
645, i cant reset my pin entering correct contactpersonal information but the site says its incorrect amp wont let me 12,unknown,neutral
646, if you have been cheated by capitalone get on board at  class action lawsuit coming Ä,sadness,negative
647, you are here to fuck around with our dollars while u take call center jobs oversea amp paid them with our dollars fuck you,unknown,negative
648, happy early new year twitterverse were in the office until 6 pm est today so tweet us if you need us  aw,joy,neutral
649,  how late can you make an atm deposit and have it count for this year,unknown,negative
650, thx,unknown,positive
651, when is soon before end of year end of january,unknown,positive
652, can i request a replacement card online,unknown,positive
653, lufkin tx branch on firs st,unknown,positive
654, not on that machine 1 a time,unknown,positive
655, i want my limited raised to 10000,unknown,neutral
656,  my check is too big for mobile app,unknown,positive
657, well that still sucks and your atm wont process more than 1 check or bill at a time for deposit,unknown,positive
658, going to cabo right now do i need to call and let anyone know for using my card,unknown,negative
659, android 50 support,unknown,positive
660, which cards are you offering the chips in at this time,unknown,positive
661, i phoned in to the staff handled but still it got worse ,unknown,negative
662, done as requested thank you,unknown,positive
663, i love capitol one but you are wearing out my shredder ,joy,positive
664, thank you,unknown,positive
665, hello  at least 4 per week and 2 per shot in mail box and then emails too ,surprise,negative
666,wow  changed reward redemption tiered structure not getting full value for milesgtall travel  100x full value thanks,unknown,positive
667, i have tried many timedifferent occasion signin reset password new password doesnt work omg now am locked out,unknown,positive
668, nothingisworking,unknown,positive
669, capital one platinum its a mastercard i also have one that is a visa,unknown,positive
670, while i understand this should be true the reality is much different  anything i can do to change my card sooner,unknown,positive
671, hey there we saw your tweet  we can track down your missing dough just dm your name ph and zip  sg,unknown,positive
672," 
you still didnt address the inconsistency that i mentioned regarding the saturday postings but not a surprise",surprise,negative
673," 
why is when the 1st has come on a sunday i have had my ach posted on the saturday before explain that",unknown,positive
674," 
thats not true im a dc govt retiree and they consistently send ach the last day b4 the holiday",unknown,negative
675,   one week later still no resolution  capital one is badservice unreliable uncaring,unknown,negative
676," 
and try to blame this on how ach payments are sent to wont fly you people post the finds when you get ready",sadness,negative
677," 
this has not been a customer friendly bank since it was called chevy chase",joy,neutral
678," 
i dont understand why capital 1 does not allow customers access to there direct deposit b4 the new year ridiculous",unknown,positive
679, branches in nyc closed today,unknown,positive
680, ill be traveling to europe for a few weeks in 2015  how can i get a chippin for my card,sadness,negative
681, oh i think you can count on that ,unknown,neutral
682, your hours on your website are incorrect for this branch  thanks for inconveniencing me,unknown,negative
683, that‚Äôd be great and happy new year ,joy,positive
684, my best advice is to hire some good ux folks i know you used to have at least one but i doubt he was on the 360 team,joy,neutral
685, account number,unknown,negative
686, i am looking for a checking accounts bill pay overdraft protection that linked to a credit card is it possible,unknown,negative
687, been 6 months since android lollipop released youre the only app i know that doesnt work with it any timeline for fix,unknown,positive
688, i‚Äôve told you 1 problem already another is the meaning of ‚Äúpartial payment‚Äù i thought it was part of total balance but no,unknown,negative
689, aaargh your ‚Äúpay a loan‚Äù page needs serious usability work grrrrr‚Ä,unknown,neutral
690, called and talked to a representative on the phone,unknown,positive
691, thank you,unknown,positive
692, no i used my phone but i will try from a computer if it doesnt work what should i do,unknown,positive
693, i was using the app then went to  and got this message looks like your request didnt go through,joy,positive
694,,unknown,positive
695, as much as we love doge we cannot use images found from the internet on our cards much sorry jd,joy,neutral
696, as much as we love doge we cannot use images found from the internet on our cards much sorry jd,joy,neutral
697, as much as we love doge we cannot use images found from the internet on our cards much sorry jd,joy,neutral
698, as much as we love doge we cannot use images found from the internet on our cards much sorry jd,joy,neutral
699, still havent heard anything,unknown,positive
700,  aw cute,unknown,positive
701, so a couple weeks ago my  atm broke they fixed it that night but then they sent this too wow Ä,unknown,neutral
702, thank you all so much was not necessary,unknown,positive
703,  u are failing servicing acct on a dispute matterbeen a customer 4 10 yearswill close goodstanding acct fail epicfail,joy,negative
704, done,unknown,positive
705,so a couple weeks ago my  atm broke they fixed it that night but then they sent this too wow ,unknown,neutral
706, chauncey r lacey 75034,unknown,positive
707, sorry apparently my mother logged on to my account and did it disregard previous statement,sadness,negative
708, yes please can you follow me on twitter so that i can send you my contact details,joy,positive
709, remove ‚36 of charges can you please help because i want to put this right asap,joy,positive
710, charges i incurred i didnt have my card on me at the time so i called in today to pay but i was told they would only,unknown,negative
711, so yesterday i called you while i was at work and i was told if i could clear the full balance you would remove all the,unknown,positive
712, capital one wasnt moved i didnt use my card since sept and thought the dd would take a min payment if required,unknown,positive
713, i changed my bank account in september and my bank was meant to move over all my dds but for whatever reason the dd to,joy,negative
714, thanks for replying i will send you a message now regarding my problem,unknown,neutral
715, i have not attempted an increase before,unknown,positive
716, i keep getting a 413 request entity too large error page when im trying to search for flights help,unknown,negative
717, i tried to check my credit card balance and the screen had no options visible today i get this ,sadness,negative
718, credit card,unknown,positive
719, onlinewhere,unknown,positive
720, im going out of the country should i alert capt one that my card will be used in the caribbean,fear,positive
721, how do you justify 23 interest rates on the elderly so they can buy prescription drugs ,joy,positive
722, amazing that capital one is willing to have 23 interest rates on elderly and unwilling to lower rates,joy,positive
723, i wish you all supported android 5 the app doesnt work for us with the fresh os,unknown,positive
724, your app still doesnt work on android 5 seriously i cant deposit on your dumb site you are a bank this is all you do,unknown,negative
725,  if you disable lastpass and then login again does the error no longer appear,unknown,negative
726, we appreciate your patience were working to get the app up and running soon for lollipop users jd,joy,neutral
727, good morning were here with coffee in hand and ready for your questions aw,joy,positive
728,,unknown,positive
729, hey i was wondering if you could please increase my 300 credit limit my income is gt100k,joy,neutral
730," why isnt credit tracker on the ipad app for capitol one its on the iphone appwhy havent you fixed this problem
y e t",unknown,negative
731, replacement card,unknown,positive
732, yes but i need a functional app to deposit checks  is there an eta on a lollipopcompatible app,unknown,neutral
733, online,unknown,positive
734, so how do i deposit these checks without an app,unknown,positive
735, awesome thanks so much,unknown,positive
736, its not on my statement but its not in pending its a recent transaction for 40 from 1222 to warren,unknown,positive
737, jd youre the real mvp,unknown,positive
738, can some one dm me  i have a question,unknown,negative
739, when will the capital one android app provide lollipop support it is the only of my major banks that does not work w 50,unknown,positive
740, hey saw your tweet if you have any unresolved concerns youd like to discuss feel free to tweet us for h‚Ä,joy,negative
741, so i have 20 on my card payment due 1615 but min payment is 0 so i dont owe till the next bill right,unknown,positive
742,so  ive never been so misled or experienced such a letdown w customer service ten day nightmare w your biz account people,unknown,negative
743,honestly getting the runaround from your bank is growing old this was a fraudulent charge amp we need that money ,joy,negative
744, you didnt answer my question why does suntrust not return the money in the same time frame as other banks not acceptable,unknown,negative
745, weve been on the phone with your team every day and were hung up on twice this is beyond frustrating,anger,negative
746, i just checked the claim management tab and all it says is in progress i could have told you that,unknown,neutral
747, oh believe me we have more questions most banks return the money within hours or a day why does suntrust not do this,unknown,positive
748, we have had to wait 6 days,unknown,positive
749, in addition we have filed local police report also with dhs ftc and fbi most banks return the money within 48 hrs,unknown,positive
750, wow u cannot guarantee me my atm card can be here tomorrow after three weeks of your people not processing losingtrust,unknown,positive
751, numerous times since this happened on 123014 and we are having to wait for the money to be returned,unknown,positive
752, someone hacked my wifes checking account for 85760 the charge was to  we have spoken to your bank,joy,negative
753, 12 interesting language check deposits do take 1 night of processing before theyre available if this ‚Ä,unknown,positive
754, thank you  i hope this is something  is working on in 2015  its immediate with bank of america and wells fargo,unknown,positive
755, i would  im in a city without a branch  thats why i was asking about anyway to do it online,unknown,positive
756, that takes three days correct,unknown,positive
757, friend stuck overseas need to transfer them funds both bank with suntrust anyway to do this online needs funds immediately,joy,negative
758, why did it just happen now though its only had 4 in it for at least 6 months,unknown,neutral
759, can it be that i have four things pending in my account,unknown,negative
760," the atm touch screen at 11721 boyette road
riverview fl does not work  how is it reportedcan you fwd this on to the branch",unknown,negative
761, i need those funds immediately if somebody could call me that would be great i rely on my cash deposits to be available,joy,negative
762, nvm i still had a convo saved from an issue in the past check your dm,unknown,negative
763, i cannot dm you unless youre following me,unknown,positive
764, not having 247 customer service is ridiculous 3rd time in 12 months your atm has screwed me over on a cash deposit,unknown,negative
765, cammy cam do luh da kidz thankz so much for da fix ,unknown,positive
766,cammy cam do luh da kidz thankz so much for da fix ,unknown,positive
767, why is cammy cam not loving the kids today,joy,positive
768, my mobile balance said 3 left yesterday now showing 35 available,unknown,negative
769,   teamanythingbutsuntrust Ì†Ìú,unknown,positive
770, ive already done all this,unknown,positive
771, were so sorry to hear that if youll share which morrow branch well be sure to share this with the branch ‚Ä,sadness,neutral
772, 33 pero no logro haberlo no recuerdo ni password ni usuario por favor requiero ayuda,joy,positive
773, 23 env„e un correo a customer me contestaron en ingl„s para que realice unos pasos en la pag suntrust para enviar un mensaje,unknown,positive
774, 13 buenos d„as disculpe que lo vuelva a molestar pero no he logrado resolver v„a telef„nica no me pudieron ayudar me,unknown,positive
775, hi suntrust here  we saw your tweet amp hope things improve soon  if youve any questions about your acco‚Ä,unknown,positive
776, u might be consp2murder wo understandg crisis caused by hostage ordealesp when u sent ransom 2  hdqtrs in dec94,unknown,negative
777, the manager who had to give the employee approval is the one who told me a week ago i couldnt do it amp that i had to come back,joy,positive
778, wilmington nc the monkey junction branch,unknown,positive
779, just to get his commission or get his points great service Ì†Ìè and perfect waste of my day acountsclosed,joy,neutral
780, so i had to come back another day while another employee just had us simply sign a form,unknown,neutral
781, the manager at the lighthouse point fl branch told me i to open an entire new account to take a name off the account,unknown,neutral
782,  i foerget my debit card pin what can i do thanks,unknown,positive
783, thanks i met with a rep at my branch,unknown,positive
784, aside from the braves you guys are always good to me nohardfeelings,joy,positive
785, ive done that twice now you all are a joke u have my number call me,unknown,neutral
786, i would read the chain of tweets pretty simple trying to find out where atm card is,unknown,neutral
787, thanks for that help,unknown,positive
788, i did what you asked and they cannot help isboabetteratcustomerservice,unknown,positive
789, not frustrated at the loan officers or reps they were big help just took a long time compared to my last 2 home loans with st,anger,negative
790, suntrust what year is this ,unknown,positive
791,the  team is off today in observance of new years day well return tomorrow to assist you with your questions,unknown,positive
792, colony square mall atlanta the teller tried to help as everyone else have conflicting information shouldnt be this hard,unknown,neutral
793, same to you,unknown,positive
794, it was solved thanks so much,unknown,positive
795, hi suntrust here we saw your tweet and wanted to reach out what seems to be the issue es,unknown,positive
796, cash the lovely people here are helping me now but still terrible if there are no records and im wrong about my balance,fear,negative
797, we are happy to hear we could exceed your expectations mikki we hope you have a fantastic 2015 ad,joy,positive
798, but can i get access to draw money from my account using the debit card,sadness,negative
799, my debit card,unknown,positive
800, good morning my name is mauricio aguilar i have account with you guys im at honduras can i get money from any atm here using,joy,negative
801, just sent you dm,unknown,positive
802, thank you info sent in dm,unknown,positive
803, unfortunately nopossible to have someone call me tomorrow,unknown,negative
804, why you selling auto loans guess u never wanted my business in the first place at least buy me dinner before u screw me over,unknown,negative
805,i gave up   20 minutes on hold with no answer ,unknown,positive
806, having a very very hard time getting someone on the phone  been on hold for ages  help,unknown,neutral
807, why wont you release loan payoff for a home thats ready to close in less than 24 hrs,joy,negative
808, waterview town center wouldnt be so irritated if they would have just acknowledged i was waiting out there,anger,neutral
809, closer contacted title co saying closing tom unfort buyers took day off work today to sign gd srv not a skill of the lp,unknown,positive
810, seriously there are three of you working the twitter channel seems like more than you have working the phones absurd 16 mins,joy,negative
811, been waiting for 10 minutes on the phone already this is pretty pitiful,sadness,neutral
812,  ill email the info but clearly need an immediate response  thats why on twitter so we can get service,sadness,negative
813,  the worst customer service experience from the antioch tn branchclosing this acct  local branches please,joy,neutral
814, it take you guys to make one purchase to pending in my account and makes my balance takes forever to b correct,unknown,neutral
815, trying to close a house today but the loan processor will not return emails or answer calls sos need someone to provide info,joy,neutral
816,  520 cash into a faulty atm acct never got credited10 buss days to get your  back great ,joy,negative
817, i forwarded the email,unknown,positive
818, i am i got most of it back thank you,unknown,positive
819, all of the checks come back out you have to enter each 1  a time the atm ends deposit after 2 or 3 checks in most cases,unknown,positive
820, williamston pleasantburg woodruff rd  all in sc,unknown,positive
821, your 10 checks at once is a fallacy ive never been able to deposit more than 2 checks in an atm and that is rare,unknown,negative
822,  phone support answered and admitted scary threatening letter i got was a lie suntrust liable for penalty not me,fear,negative
823,mortgage company screw up  i have been on hold for an hour what happens to me  at 8pm est,joy,negative
824, just didthanks,unknown,positive
825, who can i speak to about being reimbursed for having to pay 20 to have my new  expedited asap,unknown,negative
826, now i have been inconvenience by having to cancel my card for multiple acctspaypal netflix google microsoft amp many more,unknown,negative
827, stand alone i have used this atm for years gladly paying 3 for the convenience,unknown,positive
828, stand alone,unknown,positive
829, this issue was reported i ask if i could get my card back at a local branch cust svc said no had to pay 20 for fast replacement,sadness,negative
830,  thanks for this event to our friends at  ,unknown,positive
831, i was told the bbampt atm that ate my card after trying  withdraw cash will not be returned but shredded ,unknown,negative
832, bbampt sues tampa gentlemens club for 1 million  ,unknown,positive
833,bbampt sues tampa gentlemens club for 1 million  ,unknown,positive
834, dont you have to follow me to send a message,unknown,positive
835,been on hold for a half hour with  just trying to talk to customer service amazing,surprise,positive
836, the atm still is not working i sent you a report via email thanks,unknown,positive
837,alphaeus branch who founded  in wilson died onthisday in 1893 ,unknown,positive
838,it certainly seems that the website and app for  bank is down right now,unknown,neutral
839, have a great weekend  we will return on monday  800 am  gc,joy,positive
840, thanks i called customer service to report the issue att works for withdrawal but not deposits,unknown,positive
841, i am ver mad the atm in my zip never works which causes me overdraft fees others atm are very far,anger,negative
842, with our business check card stolen we now have no money to carry out our new years event,unknown,neutral
843, apparently there is nothing that can be done you guys dont do immediate credits on fraud claims,unknown,negative
844,thanks to  new years eve is now cancelled for thousands of people badbanking banksmall,unknown,positive
845,completely screwed by  thanks guys trying to remember why i bank with you,unknown,negative
846,‚ùÔè‚ùÔè appreciate your amazing customer service ,joy,positive
847, please send real bbampt customer service number  web site has no option for complaints,joy,neutral
848, no thanks id rather let everyone know how you guys stole 700 from me,unknown,neutral
849, ,unknown,positive
850, your fault not mine,unknown,negative
851, you let transactions go through an overdrafted account what bank does that,unknown,negative
852, that is your fault,unknown,negative
853, nothing but a huge scam you already see the account is overdrafted and continue to steal money i dont get it,sadness,negative
854, pathetic,sadness,negative
855, yet you still continue to allow transactions to go through and steal more of my money,unknown,neutral
856, my account was already overdrafted through no fault of my own,unknown,negative
857,triangletuesdays hot job digital channel sr product manager needed at  more details here ,unknown,neutral
858, good morning  we are here until 5 pm est to assist you with your banking needs  sb,joy,positive
859, awful customer service   so if i know someone i can get my money faster  10 day hold  wtf,surprise,negative
860, its not fault  refuses to give me the mental health treatment i deserve i didnt mean what i said please dont do this 2 me,joy,negative
861,i want 2 keep my fucking account w   they wont speak to steve and wont take my permission im a sack of god dam shit fuck the ,sadness,neutral
862,i am a god dam screw up many thanks to the god dam   for refusing to help me im going to smash my head bc   wont listen to me,sadness,negative
863,i am a god dam screw up i lost my bank account and they refuse to talk to steve and i am to god dam scared to go to  i deserve 2 die,fear,negative
864, phone my branch amp they refuse to take my permission for him to talk to them i am a worthess sack of shit im going to smash my face,unknown,negative
865,i feel like smashing my face open against a cement wall  tells steve to go in and speak about getting my account reinstated 12,joy,neutral
866,hey    nice of you to let your telemarketers call at 9pm noclass tacky wontshutup ,unknown,neutral
867, how can i redeem a set amount of points for my avion visa i dont want to redeem the 15000 or 35000,unknown,positive
868, oh really all right thats cool ill just write an email instead too lazy to call but thanks ,unknown,negative
869, denman and barclay  consistently poor service not just for me but also for others i‚Äôm told,sadness,neutral
870, cant the question be answered right on the spot ,unknown,negative
871, loginreplace cheques feature stinkscostly and not at all user friendly if i wanted to call or visit branch i wouldnt be online,joy,neutral
872, if i hit my max on my credit card do i have to apply for a new one or can i liftreset my credit on my previous card,unknown,positive
873, hi im 17 yo and i have the rbc client card i was wondering if i wanted to make purchases online or in store do i have a limit,unknown,negative
874, thank you nothing in my mind yet still looking for a good deal out there Ì†Ìç,joy,positive
875,tell me mobile deposit will come in q1  i should have been a beta tester for rbc i love how well cibc did on this tech,joy,positive
876, i was only kidding yall have been nothing but good to me,joy,positive
877, will do,unknown,positive
878, i found their online banking address you folks made that very easy im just steamed because i had already changed my limits once,unknown,positive
879, thank you for the reply,unknown,positive
